GSM107072	GSM107073	GSM107074	GSM107075	GSM107076	GSM107077	GSM107078	GSM107079	GSM107080	GSM107081	GSM107082	GSM107083	GSM107084	GSM107085	GSM107086	GSM107087	GSM107088	GSM107089	GSM107090	GSM107091	GSM107092	GSM107093	GSM107094	GSM107095	GSM107096	GSM107097	GSM107098	GSM107099	GSM107100	GSM107101	GSM107102	GSM107103	GSM107104	GSM107105	GSM107106	GSM107107	GSM107108	GSM107109	GSM107110	GSM107111	GSM107112	GSM107113	GSM107114	GSM107115	GSM107117	GSM107118	GSM107119	GSM107120	GSM107121	GSM107122	GSM107123	GSM107124	GSM107125	GSM107126	GSM107127	GSM107128	GSM107129	GSM107130	GSM107131	GSM107132	GSM107133	GSM107134	GSM107135	GSM107136	GSM107137	GSM107138	GSM107139	GSM107140	GSM107141	GSM107142	GSM107143	GSM107144	GSM107145	GSM107146	GSM107147	GSM107148	GSM107149	GSM107150	GSM107151	GSM107152	GSM107153	GSM107154	GSM107155	GSM107156	GSM107157	GSM107158	GSM107159	GSM107160	GSM107161	GSM107162	GSM107163	GSM107164	GSM107165	GSM107166	GSM107167	GSM107168	GSM107169	GSM107170	GSM107171	GSM107172	GSM107173	GSM107174	GSM107175	GSM107176	GSM107177	GSM107178	GSM107179	GSM107180	GSM107181	GSM107182	GSM107183	GSM107184	GSM107185	GSM107186	GSM107187	GSM107188	GSM107189	GSM107190	GSM107191	GSM107192	GSM107193	GSM107194	GSM107195	GSM107196	GSM107197	GSM107198	GSM107199	GSM107200	GSM107201	GSM107202	GSM107203	GSM107204	GSM107205	GSM107206	GSM107207	GSM107208	GSM107209	GSM107210	GSM107211	GSM107212	GSM107213	GSM107214	GSM107215	GSM107216	GSM107217	GSM107218	GSM107219	GSM107220	GSM107221	GSM107222	GSM107223	GSM107224	GSM107225	GSM107226	GSM107227	GSM107228	GSM107229	GSM107230	GSM107231
ADAM9	9.394764	7.15865	6.50931	7.704644	7.688652	7.194278	7.530505	7.639197	7.894975	7.346686	8.861322	8.691688	7.831004	7.721427	7.444259	6.985946	7.15223	8.340764	7.304784	7.640769	7.295232	7.002761	7.699929	8.139668	8.026261	7.542549	7.455697	7.152175	7.686576	8.315272	7.829733	7.583549	7.870193	7.357103	7.524178	7.661981	8.200025	7.593786	8.907634	8.112041	7.187803	7.650806	7.307477	7.494376	7.740451	7.312969	8.290725	7.16591	7.962817	7.68012	6.810848	7.863655	8.540315	7.828288	7.297776	7.560847	7.14511	6.690736	7.43118	7.591697	7.760863	8.623431	8.192698	7.159738	7.702881	7.211998	7.260565	8.282674	7.641903	7.644726	7.379012	7.450925	7.695474	7.02851	7.792682	8.321967	8.423109	7.287238	8.10835	9.080304	7.262014	7.096705	8.000431	7.643775	7.44934	8.393777	7.69781	8.29529	7.080921	7.422934	7.627284	7.62479	7.812046	6.964941	7.9173	7.779949	7.556257	8.066108	7.874245	7.665415	8.252345	7.475251	8.116907	8.058901	7.573901	8.057922	7.216615	6.666939	8.427954	8.142899	7.508755	7.772009	7.556414	8.473928	6.883244	8.16221	7.532206	7.227798	8.035028	7.265787	7.9941	7.089906	7.946075	7.92548	7.484651	8.164243	7.235257	8.921574	7.011422	8.323088	7.284695	7.754945	8.116832	7.326571	8.346423	8.471465	8.110129	8.555623	8.170977	7.692498	8.672142	8.025887	7.799299	7.452208	7.208331	8.169049	9.207613	8.75847	8.113069	7.878067	7.847286	9.048637	7.898971	7.494465	7.576793	8.599389	9.35995	8.48142	8.428978
ADRB1	2.678098	4.608908	3.707531	4.699134	3.132207	4.270505	2.596636	2.380111	4.0325	2.636705	3.025151	3.55874	3.395397	3.439298	3.902151	2.83056	3.668937	3.005094	3.666206	5.046895	3.785684	3.784439	5.066867	3.944492	5.276211	3.327945	3.038977	4.079898	2.333264	4.488186	3.52555	3.076622	5.030707	5.057948	5.006516	3.113535	4.303565	3.959794	2.472422	3.419242	4.119111	4.402065	3.786721	2.676248	5.822688	4.734493	3.361374	4.086864	1.804685	3.546681	2.931418	4.69639	3.54461	5.438245	4.962461	3.480615	5.312702	4.409907	6.009367	2.812542	5.128703	4.002611	3.639682	4.292175	4.782879	4.608972	3.264487	3.600849	3.314936	3.555277	2.983531	2.380664	2.009237	1.826158	2.715798	2.943835	2.537265	4.498422	2.994363	3.974487	5.022774	4.622931	4.863415	3.64644	5.363711	2.845896	4.386963	3.083016	2.473391	3.971243	2.652756	3.312173	3.582487	4.329529	2.541303	4.543422	3.023081	4.467283	4.136137	5.161322	2.961939	4.890839	2.498229	2.696129	3.005811	3.754149	2.713636	2.690992	2.711627	2.601011	3.709012	3.372856	3.484755	4.91858	4.556767	1.808944	4.185564	3.089192	5.399651	2.956624	3.178589	4.962365	2.343285	2.586716	2.936317	2.757443	2.682973	5.214917	3.295143	2.992388	4.122292	3.403321	3.164554	3.145426	5.356708	2.447447	4.864552	4.102334	4.324265	3.686634	5.225241	4.43672	4.45007	4.679356	3.458486	3.28747	2.838972	2.896255	4.343103	4.190194	4.86412	2.496297	2.988321	3.018813	3.032925	2.885178	2.569164	4.384991	2.650504
BCL2	6.22419	5.23115	6.54255	5.471962	5.764846	5.145319	6.315243	6.23396	5.87899	5.354637	5.31218	5.717312	5.499932	6.208651	5.479078	5.482668	5.426641	5.488841	5.671968	6.195406	5.864131	5.963503	5.596019	5.374193	6.033787	5.210617	5.459097	5.682978	5.740076	5.037046	4.905685	6.007615	5.774055	5.405359	5.94423	6.356698	5.068212	5.216194	6.353096	4.898442	5.497427	5.20897	5.963378	5.496058	6.391239	5.666033	5.159473	5.587009	5.894544	5.414374	5.953525	5.501986	5.017898	5.292309	5.343362	5.542539	5.546107	6.244946	5.041189	6.103316	6.141239	4.993825	5.309219	5.402208	6.090726	4.809975	5.886658	5.468581	5.109502	6.22668	5.911629	6.166674	5.806001	6.639881	6.016183	5.946738	6.221613	6.107068	5.74983	6.021496	5.840351	5.582002	6.034643	5.41749	5.664798	5.828774	5.412208	6.207925	5.519617	6.351571	6.361774	5.659457	5.370535	5.742457	5.335042	5.565875	5.492143	5.525655	6.353442	5.572558	6.231061	6.00005	5.384033	5.909089	5.907397	6.063013	6.531108	6.250088	5.603632	6.013898	5.007338	6.103918	5.329871	5.125413	6.045489	6.055889	5.596893	5.688268	5.205933	6.376308	4.464322	4.919952	4.345208	4.893443	5.494336	4.698186	5.543974	6.011319	5.67291	5.296572	5.584587	5.266967	4.817781	4.787104	5.938155	4.857922	5.993799	5.877693	5.153251	5.97248	4.912409	5.888019	5.557677	5.470934	6.263646	4.599834	4.92146	4.780088	5.564898	5.392156	5.263356	6.009066	6.067039	6.329762	6.746191	5.246592	5.249568	5.537223	5.542631
BRD4	7.140469	7.151215	7.303713	7.601934	7.215406	7.1687	7.262422	6.922846	7.255746	7.915077	7.495768	7.201686	7.191495	7.201172	7.351108	7.651249	7.536207	7.2036	7.434737	7.521534	7.186954	7.226784	7.374766	7.543273	7.435484	7.455299	7.351731	7.291859	7.631693	7.22951	7.30087	7.054803	7.27675	7.106037	7.369623	7.143994	7.150125	7.230702	7.215049	7.044651	6.82892	7.401272	7.201255	7.751068	7.168318	6.974928	7.17513	7.147473	7.008776	7.160584	7.05728	7.171022	7.078917	7.035414	6.838805	6.930485	7.21601	7.038383	7.466338	6.966225	7.220656	7.231992	7.144623	7.145788	7.119435	7.212553	7.29613	7.151987	7.566077	7.078559	7.24941	7.140882	7.10368	7.439274	6.967666	7.469282	7.183983	7.041334	7.140074	7.001688	7.181361	7.43383	7.162493	7.216814	7.024194	7.044552	7.316098	7.11485	7.42654	7.434506	7.091262	7.446346	7.3427	7.688178	7.688035	7.554495	7.57633	7.534466	7.630479	7.645687	7.569902	7.543416	7.271268	7.549238	8.191159	7.709192	7.599026	7.800078	7.749501	7.45844	7.679165	7.474427	7.262081	7.525398	7.677624	7.697558	7.542319	7.880087	6.81882	7.446608	7.77039	7.696974	7.741955	7.535453	7.354869	7.726522	7.541183	7.426413	7.834824	7.559178	7.653745	7.175376	7.419562	7.489064	7.252607	7.347094	7.205126	7.017692	7.139201	7.175657	7.075559	7.123452	7.290774	7.295694	7.830767	7.514552	7.350469	7.712287	7.276026	7.293289	7.004293	6.977829	7.873849	7.304089	6.958062	7.003929	7.524741	7.045593	7.470693
CACNA1H	4.744691	4.222535	4.451528	4.330541	3.6786	4.408685	4.234859	4.091153	4.159227	4.347222	4.140157	4.233696	4.516552	5.043176	4.471929	3.613522	4.650958	4.200824	4.115505	3.994488	4.043952	3.801592	4.126342	4.254841	3.694383	4.625625	4.258144	3.507623	3.877239	3.778127	3.718302	3.051586	3.844209	3.954147	3.853765	3.711007	4.242036	3.881526	3.750907	3.861872	3.581132	3.959528	3.735427	3.875926	3.945075	3.382193	3.584042	3.842918	4.179297	3.887453	3.838382	3.335356	3.441292	4.078546	4.445756	3.317832	3.536973	4.232289	3.420445	4.255411	3.678605	5.10235	3.245725	3.518836	3.835382	3.660952	3.618216	4.707292	3.503383	3.761083	4.049461	3.81951	3.992626	3.92364	3.811762	3.693247	3.596032	3.806895	4.815144	3.320018	4.13975	3.89288	3.235086	4.156888	4.538619	4.007466	4.246114	4.111291	3.634135	4.323883	4.152193	4.210526	4.317151	4.120004	3.979046	4.169588	3.875293	3.901629	7.204844	3.748412	4.33936	4.089886	4.176187	4.227739	4.236079	5.047373	4.799604	4.951671	3.73308	4.049867	3.888037	3.941761	3.866578	4.061408	4.341399	4.763518	3.960922	3.4136	3.947754	6.21206	3.372745	4.063221	3.829761	4.028347	4.62657	4.178828	4.093365	3.464008	4.46176	4.142694	4.309114	4.05915	3.894069	4.349399	3.824618	4.206842	3.545378	3.921809	3.706925	4.208736	3.987178	4.023476	3.843557	4.141862	4.059548	3.76902	3.401407	5.275801	3.895078	3.639632	3.828163	3.831298	3.435205	4.201346	4.063963	3.98379	3.980425	3.927738	3.414525
CCL1	3.171755	3.451037	3.71527	2.938146	3.235842	3.587557	3.179988	3.080179	3.658967	3.266525	3.287727	3.15517	3.001655	2.979054	3.489806	3.131452	3.466568	2.860844	3.042707	3.138016	3.206555	3.111841	3.386833	3.057605	2.815336	2.926875	2.950484	2.838844	4.219434	3.355459	3.01617	2.903053	2.778514	3.19526	3.348396	2.968467	3.063381	3.302913	3.443772	2.970974	3.303848	2.884046	3.01453	2.680998	3.624884	2.930207	2.84817	2.890704	2.928299	3.160745	3.24101	3.428447	2.768348	2.805388	3.234777	3.032785	3.320686	2.918674	2.974274	3.505689	3.090818	2.860213	3.186815	3.011241	2.6251	2.888023	3.052312	5.46244	3.028789	3.088393	3.202163	3.546509	3.081092	2.881789	3.67253	2.92107	3.008245	3.17342	3.28381	2.958298	3.206523	3.40925	3.047371	3.141884	2.853487	2.935611	3.438985	2.621129	2.904174	3.505259	2.955942	2.955498	3.383506	3.187888	2.763203	3.143807	2.883511	3.358706	3.100439	3.014175	3.016935	3.620617	2.57335	2.821003	2.856837	2.574247	3.12858	2.944872	4.074125	2.949964	2.868741	3.028311	3.001581	2.799428	3.20122	2.496701	3.161914	2.977322	2.840009	3.625851	3.375299	2.829647	2.61009	3.330294	2.83481	3.396522	2.976734	3.260343	3.043829	3.351762	3.903138	3.28691	2.687115	2.75649	2.803135	2.798373	2.875889	2.604417	2.829757	2.972653	2.653689	2.908704	3.017471	2.916644	2.872924	3.294778	3.038924	2.444852	3.193847	2.992394	3.05242	2.889724	2.790962	2.945482	2.912297	3.03986	2.924715	2.446875	2.586342
CCL19	7.461004	7.04347	6.212581	7.173165	7.728662	6.283356	8.150504	8.420581	8.785989	8.310325	7.261132	6.30172	7.351708	8.236039	7.20103	8.353041	6.848976	6.346055	7.030161	8.100134	6.279142	8.124553	8.223941	6.521573	8.88626	7.312473	8.542175	7.88002	7.610115	9.207047	7.804353	7.368247	7.75367	7.455264	8.038516	7.937548	5.317301	9.614569	7.033292	7.85737	7.255357	7.996707	7.724918	6.701684	6.852969	7.097784	6.439922	7.381481	10.023967	6.468394	9.714561	7.977784	7.100191	8.390329	6.159561	7.525631	7.958242	7.342144	7.00484	8.024881	5.774821	8.215098	8.089551	8.132051	6.614436	7.916464	7.331176	9.257528	7.834644	8.60245	7.70269	7.778143	8.61416	7.3244	7.645637	7.674461	5.707476	7.218235	6.996608	7.647	7.993257	6.897594	6.588116	8.072822	8.226666	5.780597	8.84538	7.363592	7.58647	7.829922	7.274934	7.895143	9.218146	7.497657	8.379775	8.78381	7.964669	7.637843	8.183054	9.0804	7.505985	8.499333	9.57291	7.586701	7.449846	6.459649	5.30426	5.559613	8.312777	7.993639	7.194388	7.126431	8.511214	7.601664	8.744199	7.416287	8.479086	8.578642	6.020163	5.807436	6.522701	7.227957	5.606455	7.710639	8.106955	6.306541	7.11802	5.562674	8.223765	5.215631	7.466548	6.379635	8.351353	6.721095	7.930545	6.237267	8.369853	7.447298	6.165889	7.841132	6.340652	8.708685	6.653184	8.8595	8.107663	4.995103	7.020086	7.753881	8.204417	5.729256	6.868836	7.634446	9.006215	6.770573	6.496794	6.19835	8.489205	6.523399	6.86918
CD24	9.570068	8.567688	9.15422	9.430829	8.636875	9.220615	7.095261	9.462081	9.882245	9.21989	9.982457	10.14347	8.98066	9.098168	7.04406	8.681284	9.89057	9.820381	9.666956	9.5628	9.354671	9.192928	10.087855	10.556011	9.818072	7.018336	9.283647	9.881604	9.849063	10.915565	10.105941	6.863377	9.187697	10.173851	9.240595	9.613374	9.7569	9.277716	8.201113	8.745985	8.03573	8.97922	9.793784	9.473946	9.926987	9.239976	6.180532	9.901179	9.871404	8.629769	10.192705	7.587945	10.325234	9.546703	8.77722	8.857222	8.860115	8.614232	9.134421	9.757937	8.947201	10.441011	8.496117	9.039949	9.485617	9.465272	8.38675	9.022697	9.19502	9.511558	9.52859	9.193482	8.966589	8.220902	9.364507	10.019852	9.919911	9.219887	9.280159	9.390232	9.254712	5.816339	8.840259	8.409745	9.742053	5.5475	8.934833	9.17593	6.080298	9.219972	9.519465	8.642177	8.150503	4.489127	9.013165	9.033713	8.673725	9.22568	9.531258	8.656848	9.418164	8.970026	9.427941	9.105324	8.116944	10.390214	10.20211	9.750854	9.534453	8.535989	8.83535	9.108194	9.283502	5.85043	9.223915	10.055059	9.665798	7.63095	9.948826	9.174157	9.675854	9.711954	10.267841	10.51929	9.85213	9.756622	9.885945	5.381867	9.905271	5.81423	10.172995	10.291657	9.841686	10.040348	9.530967	10.087756	8.957307	9.250102	9.984617	9.636391	8.800455	9.208654	9.587002	9.453363	9.732477	9.065085	9.118136	9.484617	9.731943	8.291874	9.328442	9.672508	7.322321	10.059708	8.174881	9.949652	9.760511	9.464765	9.209221
CD27	6.681632	7.443103	5.805392	7.106761	6.695162	6.83323	7.157521	6.581378	7.72223	7.086497	6.911333	5.911289	6.302788	7.26919	6.907678	7.022254	6.1657	6.447113	4.714962	6.839362	6.316103	6.882457	6.270106	6.015529	6.187625	6.539836	6.675105	6.301334	5.800855	7.026718	6.982777	6.765844	6.236181	6.579129	6.493115	6.675742	5.958256	8.034004	6.18538	6.238446	6.659583	6.978029	6.463762	6.166386	6.212582	6.121306	6.144447	6.332817	8.313662	6.158012	8.199732	6.74061	6.328257	6.694949	6.077291	7.385528	4.719994	6.753539	6.870757	6.363409	6.535664	6.618038	6.869302	6.864746	6.534335	6.018197	6.495225	7.465444	6.634387	6.954454	7.00894	7.020826	7.49502	6.503514	6.904792	6.31423	5.027367	6.548882	6.749794	6.857397	6.616498	6.510129	6.027046	6.598003	6.832689	6.076401	6.839532	7.500798	6.475315	7.24691	6.280978	5.986475	6.929641	6.928548	7.15587	7.928933	7.014616	6.755962	6.472559	7.251341	6.410748	6.856182	6.949769	6.006996	6.275814	7.4128	5.57502	5.695357	7.687199	6.865701	7.88574	6.603323	7.16336	6.964873	7.568267	6.292372	7.306054	7.761679	5.920571	6.887165	7.576482	8.107017	5.955096	6.782828	7.559661	5.668485	6.58065	5.997902	6.508001	6.141112	7.083359	5.691145	7.540039	7.007558	7.181268	5.878966	6.354802	6.824885	6.020317	5.730885	6.164019	6.907181	5.711842	6.90665	6.713924	6.102102	6.61875	6.599822	6.497947	6.388794	6.153709	7.048986	7.773353	6.738362	6.543027	6.643261	7.237045	6.668538	5.9086
CD48	7.832151	7.629838	6.916861	7.802745	7.767968	7.342041	8.002974	7.711689	8.631952	7.731403	7.884215	7.022576	7.332067	8.323633	7.197117	7.988085	7.279235	7.377701	7.057574	7.625927	7.172446	7.902379	7.492494	7.416848	7.926676	7.639571	7.579392	7.188787	7.668611	8.308717	8.375868	7.657544	7.462548	7.129697	7.726362	7.898042	6.636604	8.825218	7.476832	7.785786	7.432872	7.624258	7.356591	6.648873	7.198547	7.136592	7.024509	6.925461	9.058496	6.919959	9.045221	7.656651	7.513396	7.706023	6.699373	7.989773	7.328309	7.237828	7.978629	7.517074	7.537984	7.564093	7.577782	7.306242	7.330688	7.493227	7.052489	8.060393	7.49166	8.190385	7.340487	7.51921	7.986919	7.641216	7.39598	7.964813	6.339578	7.501703	8.059103	7.861408	7.53468	7.483613	6.985366	7.501833	7.393503	7.043776	7.794254	8.266647	7.41852	8.162862	8.002572	7.581093	8.048745	7.458186	7.80836	8.769483	7.589901	7.612125	7.333484	8.113714	7.399129	7.840844	8.4003	6.873392	7.549805	7.480123	7.440518	6.430174	8.206947	7.516812	8.352847	7.474419	7.703644	8.150804	8.043057	6.904408	7.420596	8.475426	6.787364	7.325013	7.589277	7.728703	7.121366	7.469152	7.935823	6.452132	7.645545	7.142063	7.205888	7.076875	7.702286	7.164009	7.797663	7.500899	7.692884	6.756835	7.364243	7.713768	6.709088	7.147634	6.646299	7.729955	6.713316	7.647609	7.603775	6.897793	6.976065	7.598403	7.398927	6.784131	6.604482	7.703764	8.558331	7.198882	7.575161	7.230961	7.836877	7.147207	7.116022
