GSM519722	GSM519723	GSM519724	GSM519725	GSM519726	GSM519727	GSM519728	GSM519729	GSM519730	GSM519731	GSM519732	GSM519733	GSM519734	GSM519735	GSM519736	GSM519737	GSM519738	GSM519739	GSM519740	GSM519741	GSM519742	GSM519743	GSM519744	GSM519745	GSM519746	GSM519747	GSM519748	GSM519749	GSM519750	GSM519751	GSM519752	GSM519753	GSM519754	GSM519755	GSM519756	GSM519757	GSM519758	GSM519759	GSM519760	GSM519761	GSM519762	GSM519763	GSM519764	GSM519765	GSM519767	GSM519768	GSM519769	GSM519770	GSM519771	GSM519772	GSM519773	GSM519774	GSM519775	GSM519776	GSM519777	GSM519778	GSM519779	GSM519780	GSM519781	GSM519782	GSM519783	GSM519784	GSM519785	GSM519786	GSM519787	GSM519788	GSM519789	GSM519790	GSM519791	GSM519792	GSM519793	GSM519794	GSM519795	GSM519796	GSM519797	GSM519798	GSM519799	GSM519800	GSM519801	GSM519802	GSM519803	GSM519804	GSM519805	GSM519806	GSM519807	GSM519808	GSM519809	GSM519810
ADAM9	5.624728	6.535909	6.301255	6.123013	7.112651	6.106089	6.61845	5.180452	5.914523	5.322777	5.810689	6.461334	6.160601	5.878635	6.07335	5.964549	5.70384	5.814069	5.542477	6.722138	5.656155	6.126367	6.124768	6.263775	6.508911	5.780481	5.509185	6.213361	7.680865	6.359311	6.042539	6.141973	6.458679	5.919323	6.940126	5.788709	5.6115	6.231352	4.916925	5.64705	5.77072	4.992298	6.090927	5.792242	6.325742	7.235082	6.215138	6.000445	6.137207	6.510536	5.992583	7.131571	5.658092	6.25669	6.306297	5.797875	6.637121	6.266272	6.920276	6.816944	6.056379	6.468327	6.07138	6.44415	7.229783	5.794006	6.405022	6.320551	6.598193	4.967203	6.515409	5.337584	6.533547	6.515239	6.894925	5.758791	6.737329	5.824329	6.169466	5.590697	6.477424	5.947769	7.143671	5.374097	6.037415	6.646108	6.498974	6.42523
ADRB1	2.933988	2.848683	2.923337	3.152996	3.024223	2.869811	3.52828	2.861632	3.369541	3.026201	2.875537	2.757015	2.863916	2.995302	2.79895	2.903484	2.898802	2.966747	3.064835	2.829612	2.906575	2.782237	2.974278	3.102929	3.395746	3.810125	2.999514	3.512675	2.789962	2.921393	2.700619	3.130283	4.181895	2.880834	2.733411	2.718356	3.970554	2.999681	2.841006	3.088463	4.669183	2.75931	3.377782	4.946156	3.058738	3.21885	3.03041	2.949499	2.827435	4.014476	2.868913	3.565795	4.517815	3.105368	2.90852	2.628099	2.961058	2.981337	2.935375	2.924952	2.694902	3.293132	3.595836	3.211312	2.871528	4.438409	4.437397	5.407584	3.015834	2.816225	2.654812	4.81928	3.46444	2.981974	2.974644	2.95237	2.950938	3.066607	3.533395	3.333402	2.780766	4.062497	3.080294	3.042979	3.305263	2.718775	3.172581	3.229564
BCL2	4.961264	4.792254	4.894389	5.468711	4.624208	5.052014	4.37365	4.161744	5.138356	5.586336	6.078777	5.523637	5.136066	5.543925	5.89601	5.601244	5.117964	5.725279	5.253798	4.490541	5.371196	5.768296	5.101945	4.86918	4.947063	5.35772	5.401613	5.239828	6.208936	4.448504	4.416832	5.074804	5.604144	4.971361	5.152373	4.652086	5.654376	5.235709	5.826232	5.56129	5.679326	5.483795	4.843789	5.879524	5.396598	5.034214	5.19059	5.252291	5.606262	5.234266	5.090399	4.693908	5.06214	5.024271	5.087308	4.857005	5.147841	5.407592	4.961477	5.171182	5.421415	5.431256	4.51153	4.948905	4.896019	5.674388	5.675954	5.441911	5.452447	5.263418	5.905562	5.290557	5.682684	5.524817	4.287822	5.877184	4.587873	4.908236	4.974797	5.224716	5.560278	5.406121	4.804662	4.318869	5.633738	4.769017	5.736458	5.430163
BRD4	6.591428	6.473246	6.736722	6.703985	6.722861	6.531363	6.388328	6.732304	6.425794	6.834148	6.355448	6.549627	7.048468	6.81522	6.641189	6.538503	6.743636	6.472417	6.82833	6.456323	6.554943	6.210526	6.995466	6.902861	6.794557	6.162997	6.812007	6.36951	6.63113	6.575748	6.569012	6.80472	5.837177	7.624045	6.54338	6.750756	6.12452	6.631079	6.791642	6.370447	6.643361	6.6279	6.673371	6.632556	6.703121	6.734929	6.593275	6.40433	6.623236	6.12814	6.635563	6.89602	6.909286	6.590841	6.645604	6.510509	6.570703	6.693441	6.517809	6.694653	6.825877	6.778862	6.638362	6.615101	7.053101	6.945183	6.68567	6.72738	6.714078	8.213489	6.93797	7.010581	6.828949	6.699572	6.578714	6.872083	6.914693	6.950905	6.63766	7.254373	6.573112	6.779928	6.483649	6.444514	6.81849	6.750733	6.637228	6.579951
CACNA1H	5.078282	4.809615	4.879463	4.817226	4.903161	5.152302	5.129005	4.895721	4.647942	5.738862	5.311325	5.285261	5.02516	5.046181	4.909256	5.095766	5.093921	4.843766	5.131165	4.864095	5.29188	4.907302	4.982732	5.079809	4.957125	4.811305	4.951758	5.881273	5.162398	4.772272	4.675948	4.892586	5.195968	4.659227	5.579259	5.030336	4.612378	4.982226	4.686763	5.522186	4.626706	5.307364	4.852735	4.811971	4.946994	5.06072	5.000435	5.086337	4.916568	5.351782	5.515688	4.944149	4.865177	5.445119	4.784797	4.552732	4.5309	4.987908	4.946308	4.931151	5.076478	5.052222	4.873298	5.342876	4.708155	4.905117	5.525477	4.746533	4.89517	4.877048	4.649061	5.363362	5.079351	5.377841	5.162128	4.977105	4.743309	5.025844	4.975568	5.437417	5.494678	4.594912	5.222188	4.986781	4.825809	5.142807	5.231004	5.160161
CCL1	3.269411	3.395343	3.363685	3.090221	3.242464	3.568527	3.523606	3.198678	2.950823	3.297582	3.024816	3.203153	3.498355	3.301887	3.291045	2.750956	3.19251	3.111397	3.176215	3.202512	2.998271	2.697802	3.325008	3.131356	3.507398	4.224415	3.147423	3.68129	2.87254	3.075175	3.380751	3.028588	3.102227	3.100712	3.129153	3.20438	2.930616	2.963276	3.546493	3.177173	3.098362	2.965639	2.853706	3.210296	3.348503	3.169085	3.326198	3.294	3.236862	3.313998	2.950089	3.320808	3.096509	2.967941	2.81601	2.973045	2.909789	3.560879	3.117751	3.215275	3.213041	3.270474	3.007546	3.101168	3.778586	3.066092	3.307052	3.216748	3.31406	3.302879	3.007428	3.363646	3.580631	2.867545	3.227213	3.27468	3.226141	2.930627	3.360977	3.195233	3.29447	3.210296	3.190066	3.330579	3.371678	3.331099	3.216703	3.162278
CCL19	7.391165	4.350322	10.189885	8.279915	4.357528	8.534345	7.018416	4.501245	8.851256	8.609362	7.280889	9.559336	8.429028	8.1194	5.721429	7.278748	7.567111	7.7132	9.533292	8.052772	7.426656	8.351145	6.353653	7.374076	6.793195	5.565031	7.291748	7.559299	7.114955	5.756975	4.466168	10.220699	5.458762	6.5198	7.820969	8.144872	7.19535	11.403225	4.784188	7.650827	6.4403	7.024624	6.137605	6.417127	5.974734	10.353142	7.502943	8.686642	4.366657	8.625921	8.291936	5.505824	9.665921	6.211445	10.922033	9.84781	8.594911	4.949473	9.213677	5.752277	6.364624	7.060303	6.593272	6.788891	6.522306	10.135775	8.558972	9.032953	5.082303	9.490902	5.806491	8.854098	8.038112	5.991634	4.263842	8.168826	5.893689	7.479327	7.959391	7.630005	4.51986	7.625706	7.9406	5.337967	5.801666	5.651706	6.961344	6.829925
CD24	10.881144	11.429753	12.897324	9.499723	11.720727	11.505006	11.912287	9.923041	9.056979	7.460839	11.070017	9.533634	12.002391	11.518001	10.512081	10.814068	11.776544	10.358397	13.18772	11.474789	10.639416	11.224079	11.947435	12.643064	10.430249	12.197971	9.910518	11.018298	9.386426	12.172505	11.415572	11.915576	11.078828	11.620936	11.080191	10.665779	11.315025	11.480272	11.351568	12.505478	10.937315	9.740503	8.454803	10.48069	12.268654	11.964854	10.407929	11.403367	10.417664	10.480609	10.648344	12.101617	12.336569	9.489935	11.500806	11.316509	10.637892	11.556491	12.051369	11.046417	10.836985	12.265091	11.058775	11.432374	12.259371	11.163468	9.489678	9.985294	11.116845	11.780813	11.115869	10.378624	11.209279	11.622887	12.128188	12.282734	11.959117	11.245335	10.814489	10.470228	10.612985	6.735725	12.50857	10.397063	10.360966	11.998096	11.310192	10.857211
CD27	8.637366	5.533687	8.163281	6.705541	5.11268	7.895635	6.564214	5.290474	6.936423	7.441406	7.327015	8.238318	7.369298	7.098759	6.006072	5.046011	8.027709	6.912747	7.676479	6.03955	6.698767	6.593856	5.708849	6.401266	6.633481	6.314767	5.800133	5.828237	7.178766	6.721238	5.947362	7.416061	5.59416	5.405532	6.988532	7.327001	5.542848	8.623988	4.910509	5.922241	5.879424	6.152216	5.426096	5.237841	6.051516	8.000735	7.411612	8.065315	5.51105	6.464198	6.736424	5.545975	7.422344	5.657481	8.616456	8.416385	8.231172	4.900487	7.989278	6.815891	6.375075	4.950043	6.999903	6.320817	6.954524	6.444274	6.759008	6.598013	4.260026	6.694539	5.074933	7.07104	5.89222	5.039908	6.315188	6.424277	5.912567	7.164451	6.623447	4.722756	4.124687	6.881853	6.263138	5.607954	4.721598	6.719863	4.674062	5.633511
CD48	6.425597	5.913571	7.460124	6.389071	5.113516	6.672839	5.661484	5.469969	6.211309	7.28305	6.870289	7.285606	6.728013	6.313088	5.4863	5.219072	7.22828	6.462312	7.177181	5.796203	6.059294	6.367342	5.49278	6.400584	7.15799	6.504441	5.557697	5.817963	5.829807	5.78973	5.299799	7.029299	5.781653	5.385169	6.226143	6.571133	5.492974	7.524557	4.337142	6.043876	4.873563	6.286217	5.639078	4.738276	6.205494	7.603635	6.339014	6.750615	4.724433	5.895349	6.448318	6.056099	6.907477	5.396038	7.903528	7.079607	7.344518	4.985912	7.143136	6.330435	5.723869	5.003048	6.136874	5.748671	6.144924	6.316264	6.109606	5.923744	4.711168	6.912027	5.566217	7.317032	5.748606	4.702054	5.556431	5.531909	5.575879	6.644984	6.715515	5.932832	5.680648	6.62931	6.324384	5.134375	5.099834	6.362088	5.584822	5.416606
