GSM110625	GSM110626	GSM110627	GSM110628	GSM110629	GSM110630	GSM110631	GSM110632	GSM110633	GSM110634	GSM110635	GSM110636	GSM110637	GSM110638	GSM110639	GSM110640	GSM110641	GSM110642	GSM110643	GSM110644	GSM110645	GSM110646	GSM110647	GSM110648	GSM110649	GSM110650	GSM110651	GSM110652	GSM110653	GSM110654	GSM110655	GSM110656	GSM110657	GSM110658	GSM110659	GSM110660	GSM110661	GSM110662	GSM110663	GSM110664	GSM110665	GSM110666	GSM110667	GSM110668	GSM110669	GSM110670	GSM110671	GSM110672	GSM110673	GSM110674	GSM110675	GSM110676	GSM110677	GSM110678	GSM110679	GSM110680	GSM110681	GSM110682	GSM110683	GSM110684	GSM110685	GSM110686	GSM110687	GSM110688	GSM110689	GSM110690	GSM110691	GSM110692	GSM110693	GSM110694	GSM110695	GSM110696	GSM110697	GSM110698	GSM110699	GSM110700	GSM110701	GSM110702	GSM110703	GSM110704	GSM110705	GSM110706	GSM110707	GSM110708	GSM110709	GSM110710	GSM110711	GSM110712	GSM110713	GSM110714	GSM110715	GSM110716	GSM110717	GSM110718	GSM110719	GSM110720	GSM110721	GSM110722	GSM110723	GSM110724	GSM110725	GSM110726	GSM110727	GSM110728	GSM110729	GSM110730	GSM110731	GSM110732	GSM110733	GSM110734	GSM110735	GSM110736	GSM110737	GSM110738	GSM110739	GSM110740	GSM110741	GSM110742	GSM110743	GSM110744	GSM110745	GSM110746	GSM110747	GSM110748	GSM110749	GSM110750	GSM110751	GSM110752	GSM110753	GSM110754	GSM110755	GSM110756	GSM110757	GSM110758	GSM110759	GSM110760	GSM110761	GSM110762	GSM110763	GSM110764	GSM110765	GSM110766	GSM110767	GSM110768	GSM110769	GSM110770	GSM110771	GSM110772	GSM110773	GSM110774	GSM110775	GSM110776	GSM110777	GSM110778	GSM110779	GSM110780	GSM110781	GSM110782	GSM110783	GSM110784	GSM110785	GSM110786	GSM110787	GSM110788	GSM110789	GSM110790	GSM110791	GSM110792	GSM110793	GSM110794	GSM110795	GSM110796	GSM110797	GSM110798	GSM110799	GSM110800	GSM110801	GSM110802	GSM110803	GSM110804	GSM110805	GSM110806	GSM110807	GSM110808	GSM110809	GSM110810	GSM110811	GSM110812	GSM110813	GSM110814	GSM110815	GSM110816	GSM110817	GSM110818	GSM110819	GSM110820	GSM110821	GSM110822	GSM110823	GSM110824	GSM110825	GSM110826	GSM110827	GSM110828	GSM110829	GSM110830	GSM110831	GSM110832	GSM110833	GSM110834	GSM110835	GSM110836	GSM110837	GSM110838	GSM110839	GSM110840	GSM110841	GSM110842	GSM110843	GSM110844	GSM110845	GSM110846	GSM110847	GSM110848	GSM110849	GSM110850	GSM110851	GSM110852	GSM110853	GSM110854	GSM110855	GSM110856	GSM110857	GSM110858	GSM110859	GSM110860	GSM110861	GSM110862	GSM110863	GSM110864	GSM110865	GSM110866	GSM110867	GSM110868	GSM110869	GSM110870	GSM110871	GSM110872	GSM110873
ADAM9	7.292597	7.705346	7.681156	8.219199	7.847829	7.812809	8.349575	7.006976	7.747685	7.622964	6.491688	7.256534	8.010925	7.187832	8.211689	7.148292	7.461517	6.811337	7.037701	6.589923	8.33258	7.988215	7.289897	8.120228	7.472885	6.607881	7.310906	7.679334	7.373747	6.774532	8.139974	7.456028	6.932469	9.110818	7.13412	7.267883	6.983782	6.517445	7.269673	7.496614	6.97692	7.458717	7.071147	7.536356	7.541884	7.47302	7.516617	7.189141	6.9459	7.846614	7.89497	7.233858	7.004579	8.058288	7.357491	7.203644	7.463234	8.072745	8.037907	6.892349	6.665216	8.218595	7.342218	7.854167	7.072243	8.039492	7.60599	7.629011	7.562667	8.031024	7.492124	6.497904	7.124838	7.932745	7.503434	6.974391	7.20514	7.751984	7.201661	6.128262	7.420547	8.60564	7.670107	7.247162	8.82546	8.462014	8.096522	6.902191	7.325288	8.664485	8.03432	7.567512	6.86907	7.289239	7.231651	6.901052	7.118225	7.079817	7.997016	7.811826	7.754043	7.449621	8.304409	7.032548	6.793083	7.532672	7.762022	7.030273	7.114871	7.965657	7.039581	8.672767	7.831307	6.823577	6.501878	8.261142	8.392807	7.554944	7.683875	7.428727	7.61675	8.092968	7.735417	7.113221	7.860381	8.139763	7.574017	8.60191	6.65879	8.336406	7.214073	7.028407	7.02688	6.989746	7.226237	7.003627	7.337545	7.666719	7.262957	7.558051	7.277181	6.448423	7.452393	7.874199	8.043312	7.492362	7.146822	7.926517	7.078707	7.502445	6.887643	8.854661	6.941797	6.298963	7.554423	7.417706	7.3724	7.456109	7.973942	7.484085	6.960281	6.882733	6.860169	6.553715	9.39147	7.696121	8.033984	7.554766	7.564132	7.484336	7.232521	6.761082	7.086054	7.137902	7.12059	6.654926	7.777326	7.224231	7.257696	6.453052	7.346781	8.275923	7.057533	6.946307	6.475847	7.35307	7.562545	8.080774	8.109747	7.670153	7.527037	6.949411	7.364003	7.502073	7.744857	7.294412	8.37419	7.704617	9.337205	7.020103	7.297189	8.018563	6.979439	7.235708	7.446676	6.898621	7.546599	8.001353	7.546901	8.042414	7.29475	7.976322	7.476743	8.372997	7.212896	8.07499	6.485584	7.231611	7.879175	6.782888	6.98794	7.33322	7.380192	7.150977	8.351427	6.967094	7.843498	7.1019	7.62283	7.193247	6.969854	7.601843	7.605193	7.945754	8.048561	7.968585	8.026579	6.802671	9.846814	6.289363	7.450356	7.579241	7.415876	7.197953	7.535293	7.059652	6.187128	7.4987	8.147831
ADRB1	4.924401	4.711608	2.948612	5.425032	2.371451	3.160108	3.230451	3.044124	2.275491	3.088806	4.884341	2.41043	2.818157	4.585527	3.180394	2.922258	3.233126	3.513	3.010267	2.153411	3.492748	3.418612	3.893594	2.948175	3.172692	3.128175	2.92149	2.467106	3.409715	3.172574	2.682724	2.396726	2.827174	2.663217	4.469117	2.414685	2.992373	3.101034	2.538853	2.494216	3.954258	3.02255	3.450166	2.333188	2.612068	3.207198	2.443054	5.09482	3.327466	5.091136	2.832855	3.314553	3.032637	2.824587	3.176914	2.116428	3.00336	3.535378	4.284265	3.163772	2.546209	3.103589	2.522875	2.716118	3.669985	2.962737	4.517474	4.082201	3.103951	3.675655	3.141849	2.941722	3.270612	2.838332	2.951716	2.473798	2.83526	3.918828	2.872647	3.657771	3.052971	4.217808	4.07816	3.320141	5.581189	3.263449	3.135667	3.283451	2.467772	3.19232	2.746109	3.172113	3.138127	3.343088	4.361584	2.748042	2.954518	2.224756	1.988115	2.30047	2.584901	3.120086	3.237292	2.070915	2.834821	2.829452	3.02819	3.357364	2.73999	3.205289	3.183677	3.110864	2.387168	2.69841	2.138123	2.419541	2.470775	3.11047	3.695128	3.821841	2.574285	2.481649	2.99758	2.959352	4.284155	4.785777	2.498471	3.626096	2.56773	2.281551	3.424572	3.952305	2.950289	4.98545	3.008228	2.49216	5.076519	2.682981	3.043004	4.834028	3.687411	3.832326	3.529915	2.29047	2.88458	3.846563	3.455916	2.398629	3.240953	3.129998	2.915164	4.866388	3.504975	3.165992	2.059569	2.669575	2.65883	4.706043	3.09669	3.435472	3.042802	3.67995	3.108623	3.190061	3.763127	2.433342	3.098892	2.964073	2.030667	3.135685	3.295511	2.816074	2.942871	2.587359	2.652866	3.287171	3.400038	2.128118	2.527558	2.923463	2.972418	3.318407	4.744526	3.18427	2.802563	4.805918	3.042937	2.694778	3.301918	3.063496	4.088687	3.51771	3.0603	2.797506	2.485273	4.381739	2.258258	2.550465	3.156321	2.460723	3.114266	3.097555	3.037057	2.454343	2.03665	2.888642	3.142532	2.035503	2.857854	2.405486	3.162183	2.485948	2.376844	5.117799	2.608459	3.61368	3.843313	3.391389	3.28437	4.478957	2.406337	3.347047	4.205261	3.840155	3.123204	3.161256	3.512992	2.957792	3.173456	2.920082	2.851601	3.534576	2.990338	2.743044	2.800444	3.10258	2.235093	2.360162	2.000072	2.761792	3.365098	3.226914	2.39584	3.260618	3.379911	3.164984	3.18789	3.73727	2.620565
BCL2	5.607592	5.293222	5.214547	5.531385	5.306894	5.645664	5.968459	6.596326	5.108511	5.150579	6.244406	5.827818	5.414933	5.913781	5.097982	6.051146	5.484413	5.587721	5.647079	5.808326	5.437262	5.518688	5.434511	4.630595	5.390165	5.791732	5.607547	5.935495	6.261909	5.796237	5.458287	4.98026	5.710566	4.818449	4.76074	5.094212	5.86982	5.683304	6.105613	5.408337	5.126889	5.228957	5.739724	5.586763	5.740594	5.858041	6.090439	6.026258	5.517513	5.419616	5.015698	5.485917	5.250812	5.732791	5.065628	5.086411	6.367942	4.805548	5.170698	5.59497	5.606388	5.42687	5.348194	6.023962	5.654938	4.746383	5.846697	5.222173	5.496125	4.943984	6.765627	5.49513	5.749543	5.246938	6.16273	5.580992	5.196262	5.683849	5.803691	5.699366	5.616204	5.295717	5.744156	5.326719	5.836786	5.478423	6.008554	5.565804	6.18091	6.028066	5.238719	5.534131	5.137471	5.283145	5.91958	5.791911	5.134791	5.523858	6.357631	5.789853	6.248055	5.293581	5.574404	5.760378	5.41619	5.750335	5.452583	5.248019	5.615677	5.056367	5.303795	5.009381	5.248602	5.338721	6.414654	6.366441	5.102531	6.16959	5.033891	5.401929	5.09951	5.948806	5.687395	5.162019	4.998626	5.348912	5.72513	5.302685	5.023714	5.497488	5.354619	5.617126	5.907256	6.46795	5.762974	4.882332	5.294934	5.162799	6.316788	5.353583	5.287276	5.834834	5.511501	4.731655	5.188288	5.768523	5.702637	5.348179	5.402295	5.777868	5.52414	5.515183	5.832529	5.767128	6.042231	5.409584	5.24548	5.453683	4.647041	4.99746	5.670955	6.567074	6.011803	5.215046	5.371494	5.80311	5.818749	5.306015	6.139488	5.513708	5.193061	5.936304	6.036203	5.757447	5.871418	5.23102	6.348262	5.197562	5.275388	5.189713	5.459854	5.336796	6.243825	5.454369	6.228443	5.202837	4.853527	5.211125	5.96008	4.917226	5.826805	5.106952	5.496903	6.042003	5.601217	5.032471	5.107561	5.280649	5.695368	5.293635	4.942518	6.211015	6.503535	5.650537	5.516171	5.497472	5.57971	5.82342	5.438811	5.551344	6.045446	5.268055	4.840547	5.183413	4.91885	4.811045	5.430161	5.338725	5.105572	5.074221	5.137051	5.118453	5.188349	5.382791	5.184062	6.764977	5.324995	5.449834	4.871981	5.726734	5.487766	6.768237	5.718473	4.98262	5.011781	5.437707	5.177666	5.485153	4.590849	5.730824	5.692011	5.236804	5.047859	5.167804	4.765698	6.07341	4.950186	5.237882	5.355735
BRD4	7.546495	8.043877	7.759328	7.789752	7.671173	7.916708	7.786946	7.621449	8.293988	7.541605	7.381517	7.586769	7.798144	7.928917	7.684989	7.890581	8.037496	7.650809	7.713398	7.895875	7.620601	7.983595	7.838264	7.709364	7.698459	7.79706	7.786532	8.210885	7.946668	7.71573	7.730802	7.677091	7.696842	7.744619	7.884615	7.566509	7.783582	7.757614	7.618937	7.852556	7.607041	7.62871	7.656591	7.465048	7.603148	7.620169	7.636427	7.664379	7.761046	7.841458	7.763	7.467825	8.294526	7.561792	7.423689	7.771919	7.458061	7.859129	7.475738	7.423367	7.752255	7.569024	7.891489	7.489763	7.631926	7.931963	7.807917	7.811873	7.596775	7.544864	7.460634	7.70858	7.813337	7.654899	7.607503	7.834916	7.210117	7.780308	7.598788	7.647432	7.620697	7.682603	7.837648	7.592291	7.6476	7.739029	7.489926	7.641568	7.93552	7.320552	7.56222	7.62801	7.519276	7.427449	7.324245	7.242364	7.704714	7.56025	7.472185	7.502794	7.699362	7.153152	7.538712	7.74691	7.690536	7.643853	7.535188	7.344916	7.785917	7.4051	7.725391	7.393018	7.605249	7.938824	7.385033	7.81075	7.655438	7.833357	8.026001	7.660254	7.536286	7.653492	7.631704	7.718685	7.614646	8.096607	7.609993	7.740407	7.944302	7.73432	7.968162	7.633528	7.690649	7.550204	7.65278	8.206282	7.803262	7.575145	7.523934	7.488478	7.76335	7.543121	7.568386	7.491397	7.676889	7.681987	7.727795	7.427291	7.880731	7.706102	7.870249	7.455023	7.655132	7.962876	7.976436	7.93397	7.741979	7.480903	8.477694	7.810531	7.907759	7.945386	7.944973	7.770913	7.738147	7.882271	7.538578	7.924662	7.795706	7.941122	8.038267	7.607936	7.69561	7.727497	7.70816	7.998178	8.025611	7.781295	7.634359	7.848201	8.38152	7.645163	7.595118	7.936466	8.070949	7.983378	8.029942	7.280912	7.983591	7.499552	7.795042	7.747709	7.73474	7.403387	7.69781	7.357504	7.652919	7.887889	7.535338	7.628715	7.790862	7.820391	7.575275	8.136507	7.650305	7.758606	7.679214	7.636602	7.537138	7.608344	7.448684	7.472847	7.637989	7.531882	7.783024	8.150584	8.085091	7.614991	7.950451	7.686352	7.502777	7.800836	7.89337	8.238354	7.412409	7.6018	7.754688	7.70512	7.932355	7.866503	7.585226	8.173017	8.05788	7.794073	7.80387	7.711727	8.061387	7.787817	7.652115	9.023038	7.438315	7.659339	7.563671	7.612476	7.772356	7.91895	7.686085	7.841381	7.810447
CACNA1H	4.409865	4.184426	3.72821	4.091838	4.012033	4.063733	4.657769	3.977385	4.141083	4.113915	4.222354	4.451548	4.408148	3.767324	6.787907	4.47002	4.040689	4.626126	3.913676	4.411961	7.049351	4.909994	3.68357	6.371877	4.49401	4.393348	4.352332	4.57622	4.073286	4.65284	3.939749	4.853767	3.650386	3.911824	4.194584	4.422327	5.203509	4.217448	4.278034	3.974916	7.216134	4.091338	4.203885	4.742591	4.39559	4.446166	4.301697	4.218062	3.898089	4.383736	4.333976	4.262901	4.232049	4.391277	4.051684	3.983406	4.54795	6.574614	4.276325	4.078763	4.034769	4.318319	4.235467	3.482067	4.544984	3.519346	6.385337	4.094791	4.025423	3.888482	6.027323	5.191259	4.245413	4.107177	4.624981	4.405351	4.192752	4.047912	6.265304	4.667498	3.862711	4.532784	4.35874	7.519443	4.412152	3.873825	3.990568	3.725655	3.883759	4.310957	4.256519	3.77153	4.065832	4.200075	4.501657	4.130387	4.076467	4.87449	3.848065	5.582305	5.606487	4.283464	4.058413	4.456836	4.358451	4.215937	4.232548	4.278795	7.270472	4.406156	4.410332	4.597964	4.256445	4.333853	4.472116	7.090567	3.825102	4.797162	4.691458	4.289809	4.860215	4.289405	4.225107	6.233771	3.865921	4.238765	3.702483	5.261844	3.708289	4.920184	4.42449	5.897269	6.650394	4.150527	4.335376	4.474223	4.167543	4.063092	4.392313	4.076193	3.920948	4.256519	4.222607	4.048669	4.087336	4.177168	4.226244	4.291533	4.445435	4.207036	4.084871	6.770707	4.542613	4.041901	4.158003	4.518096	3.994064	4.031403	4.232639	4.041686	4.276079	7.171952	4.481305	4.503307	4.476297	4.279221	3.483832	4.415505	4.651989	4.093923	4.327804	4.270567	4.38424	4.109595	4.54204	4.100401	5.900955	4.030429	4.110731	4.437903	4.644354	4.232142	3.932959	4.135871	4.376059	4.177865	4.447853	4.265058	6.737687	4.237137	4.45691	3.934972	4.010112	4.169453	4.128699	4.485775	4.13734	4.435013	4.189995	4.76346	4.593681	4.421559	4.57819	4.304643	3.279458	4.434559	4.405564	6.677565	4.217259	4.293288	6.118805	4.26386	4.696295	3.631706	3.577619	4.147672	4.286339	4.347783	4.22962	4.556889	4.319464	4.363111	5.303477	4.311675	4.516869	5.963495	4.203242	3.950433	4.750978	5.645767	4.28673	7.15152	4.359454	4.566786	4.536831	5.123182	4.687392	4.177763	6.683239	4.75032	3.912584	4.542699	4.304587	4.015295	3.771343	4.447933	4.068479	4.752627	3.509154
CCL1	3.517082	3.048534	2.950431	3.460793	2.94289	2.741578	2.995586	2.556016	3.265313	2.654478	3.046132	3.011075	3.320836	2.615716	3.362649	3.198491	2.949818	3.159957	3.414823	3.251804	3.073178	3.283634	2.625418	2.784239	3.136283	3.074294	2.900544	2.919404	3.061064	3.496289	3.566034	3.150547	3.422628	3.10897	2.935667	2.523239	3.329254	3.06994	3.12861	2.995056	3.362414	2.999852	3.099973	3.135152	3.230627	3.051657	3.038573	2.956431	3.14339	3.494546	3.16427	3.210173	3.213239	3.339618	3.060588	3.176116	2.863739	3.284745	2.38831	2.754268	2.854747	3.283691	3.091213	3.060704	3.102581	3.174937	2.590319	2.923762	3.045003	3.208424	2.937335	2.981663	3.262481	2.9268	3.421713	3.254774	3.129513	3.182368	3.352361	3.602918	2.927261	3.309513	3.430363	2.617163	2.703807	3.330149	2.803603	3.539488	2.527928	2.859354	2.921692	3.029387	3.302358	3.382819	2.926803	2.376795	3.078116	2.992299	2.544773	3.192025	3.403371	3.410755	2.808078	3.183624	3.011444	3.137535	3.122952	3.359198	2.831165	3.072974	3.487109	3.239193	3.315562	3.011289	3.193112	2.832599	2.481716	2.518601	3.369398	3.133703	2.603107	2.9019	3.164649	3.620365	3.288853	3.110643	3.056985	2.632061	2.523537	3.25773	3.462031	4.176651	3.084054	2.551686	3.320919	2.835302	2.915421	3.272656	2.931503	3.229167	2.692434	3.215705	2.628663	3.244181	2.607586	3.081607	3.167609	3.093939	3.736723	3.036373	2.844961	3.189661	3.269749	3.14706	3.246675	3.721459	2.605904	3.737451	3.116519	2.825914	3.377095	3.445956	3.525946	2.967152	3.182935	3.109795	3.14249	3.578358	2.403351	2.740863	3.160223	3.371298	3.13215	3.503433	3.441661	3.159367	3.047344	2.816625	3.034455	3.67192	3.890024	3.085517	3.398269	3.192811	2.613843	3.167551	2.999764	2.766574	3.39708	3.261475	3.493381	3.184331	3.006872	3.113994	2.465797	3.714929	2.899934	3.260769	3.347451	3.479733	3.515693	3.469609	3.082866	3.459512	2.99521	3.144297	2.568265	3.22844	3.226061	2.767499	2.965932	3.490338	3.031386	4.386524	3.033699	3.021426	3.679093	3.105468	2.875548	3.678955	3.208838	3.391806	3.521939	3.811359	3.490506	3.389779	3.116998	2.551894	2.993452	3.164802	2.900994	3.31099	2.663961	3.126877	3.55961	3.016506	3.02019	2.776612	3.613752	3.141726	3.054682	3.280707	3.220175	2.795776	3.146827	2.986643	3.39638	3.069565	3.094522
CCL19	8.432209	6.398859	7.012731	7.551914	7.53787	6.930861	8.277353	6.243189	7.735816	7.617341	7.789335	4.749642	6.137673	7.348641	6.318189	7.795181	8.307607	8.373063	7.314286	5.631964	7.513638	8.362792	7.781002	6.309187	8.858932	7.373426	6.294161	8.421774	8.70772	8.296005	6.898201	8.437382	9.210616	8.071217	8.474862	7.284813	5.570925	6.437478	7.02351	7.999494	7.453791	8.501565	7.405414	9.80334	7.595702	8.520034	8.125827	7.811858	5.698108	6.531137	6.486947	9.32804	6.828088	6.154299	8.211495	7.666833	7.229426	7.512958	8.514578	7.722619	8.813736	6.41308	8.087363	8.450853	7.772357	6.809107	7.493602	7.466677	6.25209	7.238076	5.270569	8.177644	7.912595	6.894381	6.618273	9.171188	8.502166	8.083863	8.643198	7.438161	10.24782	6.905689	5.935537	8.699968	6.620907	7.739892	9.147126	9.693146	8.050677	6.802551	8.008893	9.050132	6.521811	7.219782	5.938456	8.236141	6.039846	6.617918	6.758359	6.807743	8.120342	8.585272	8.660859	6.539095	6.987877	8.352334	7.312132	8.538681	6.200375	7.282995	8.613016	7.558661	6.229001	7.631173	7.014111	5.722839	5.523371	7.295572	7.553949	7.870539	7.485274	8.108243	6.743979	8.912697	9.053364	7.594806	9.428649	5.35822	8.302934	6.93552	5.500329	8.402896	7.914538	6.290028	6.572255	8.39447	7.829656	8.972527	8.707209	8.864703	7.59383	6.814076	7.513861	6.26062	8.232869	8.88997	8.566198	8.785632	7.361863	7.585661	7.416199	6.124847	6.539734	6.200069	8.176742	6.303026	9.827316	7.550156	8.275622	7.805938	6.964243	5.195677	7.488925	8.652678	7.760001	8.047296	7.52608	6.92001	7.013217	7.274573	7.259659	7.623317	7.302	8.466765	6.808542	9.05634	7.577852	8.987606	7.263253	7.745131	6.328539	8.755835	8.10214	7.635951	6.202736	7.68918	7.47525	6.592729	8.32552	7.381966	8.296268	8.214827	6.692277	7.441758	7.490122	8.077677	7.428863	8.26488	7.451666	7.150567	8.788259	7.161208	7.159213	6.655385	9.669834	7.69814	9.811593	7.966789	8.480333	7.566652	6.789956	7.035677	5.655852	8.653901	8.294913	8.325043	6.98738	7.246554	4.953246	8.91574	8.569005	7.758518	7.161617	6.965687	8.65082	5.266981	9.341967	8.482156	8.559922	6.895806	7.011846	6.530416	8.944631	7.934117	5.946596	5.740867	5.698504	6.423827	6.102282	7.693917	8.786499	7.654124	8.683937	7.103895	7.875389	8.582645	6.79291	8.795688	8.682086
CD24	8.780204	9.345028	9.407032	10.536097	9.441535	9.401306	9.371707	9.254924	8.554166	9.466381	8.170524	9.207555	9.437755	9.231335	9.437078	9.052603	8.643779	10.326206	9.208116	8.335938	8.763164	8.391837	9.461588	9.663365	9.426581	8.971974	5.459981	9.213602	9.372185	9.621022	9.165468	9.377469	7.704393	9.829005	9.301688	8.559036	8.949956	9.120522	8.566717	9.669411	9.833455	8.265633	9.106408	9.279646	9.282886	8.495976	9.325756	8.8976	8.631874	7.07738	9.484863	5.943786	6.176922	6.666085	8.126806	9.490366	9.766152	9.332619	9.402938	9.497803	8.304557	9.327778	8.499312	9.323327	9.901044	9.293303	9.464889	8.805981	9.183132	10.032395	9.984816	8.406288	8.230284	9.18463	9.47121	9.755252	9.774738	8.739033	9.363224	7.52402	9.069477	9.380033	9.071441	8.89543	9.066942	9.298411	9.269018	7.733712	8.592216	9.838791	9.34235	8.62589	8.34101	8.480443	9.023377	9.180259	10.107336	9.249242	9.927763	7.77932	8.90732	7.445213	8.594075	8.728992	9.434418	8.940568	8.797685	8.711605	9.83375	8.995923	8.529511	9.292218	9.643155	7.419655	7.980995	10.109766	10.131257	8.702893	9.627334	8.471707	9.254063	9.333671	9.090735	8.410131	8.888771	8.650537	8.386387	10.001883	6.808513	9.120559	8.067483	8.258366	9.321938	4.747065	9.792952	9.328898	8.908097	9.461573	9.329255	9.078772	9.270304	9.218743	9.328651	10.032157	9.17116	8.794226	8.451003	9.369763	8.399002	9.041671	8.309975	9.298112	8.417814	8.695389	8.831398	9.861111	9.782995	9.758214	10.449508	8.892544	7.992563	9.795232	8.579713	7.149351	9.598547	9.359492	9.078817	9.36673	9.058308	7.820395	9.892878	8.20719	8.714392	9.551997	8.779801	9.73654	9.582197	9.581115	9.199628	8.895455	9.533465	9.602104	8.594152	8.968188	9.160208	8.707921	10.080159	9.956356	8.948753	10.581723	5.907396	8.062322	8.140982	9.741442	9.445113	9.255345	9.378617	10.063655	8.776115	8.623172	8.824449	9.814393	8.418744	10.042874	9.990309	8.255397	9.19523	9.074998	8.830912	9.252544	9.711305	9.129087	9.712519	8.696774	9.38328	10.458372	8.70612	9.374902	9.462954	9.263152	9.384893	9.831923	9.815294	9.19581	9.272177	8.951705	8.932011	9.299092	9.565405	9.264965	6.54459	8.749741	9.120039	8.465637	9.029286	9.8791	9.359344	6.437853	10.238083	9.511369	8.597504	8.492034	9.181048	8.663209	9.803392	9.368717	9.81171	9.431056	9.571729
CD27	6.160384	5.222717	6.916652	7.357449	7.064394	6.236102	6.181723	5.84564	5.677191	6.048761	5.544517	5.846455	6.256214	6.429215	5.425704	5.760714	7.03705	8.254876	5.010497	5.219451	6.771355	7.321436	6.382611	4.344545	7.809761	6.466836	6.057516	6.595752	6.971645	7.791326	5.263433	6.882283	7.463507	6.530583	7.089975	6.386987	5.908383	4.759724	5.348763	5.523957	6.591473	6.304218	6.290735	7.546957	6.366712	6.791743	6.574603	5.79679	4.689795	6.441337	6.721948	7.928267	6.544986	5.584383	6.811955	5.665052	6.397524	6.191801	7.316089	6.605332	4.935415	5.70855	6.194244	6.232677	5.78997	5.820556	4.912018	6.642112	6.079308	7.623598	5.24907	6.873077	5.243093	5.755157	6.003121	8.066285	7.838549	6.159061	7.426446	6.51553	8.06699	7.003843	5.581813	6.926007	4.900574	5.075062	7.305743	8.533715	6.947709	5.914897	6.575023	7.3498	6.501745	6.218501	5.870941	6.479746	4.723574	5.953842	5.513066	5.675249	6.343996	7.694979	7.294552	5.729399	5.805822	6.122852	6.597449	7.697825	4.842152	5.294148	8.071167	6.310323	6.345459	5.98631	6.235858	5.21509	5.454867	6.10062	6.044205	6.190572	6.368023	7.371644	6.098099	7.650506	6.85796	6.688791	7.77972	5.878049	7.007731	5.897316	6.042141	6.827551	5.972298	4.523922	5.740152	6.730428	6.413778	7.271268	7.410234	7.873879	6.460788	5.808043	5.901778	5.752095	6.865091	6.686239	5.611632	6.843261	6.478856	6.265851	6.220745	5.885182	5.92121	6.134498	7.053594	6.352025	7.678183	6.8891	6.554046	6.051823	6.168546	4.305495	6.506025	8.442609	5.484931	6.182673	5.853867	6.182077	6.871778	6.014324	5.590799	5.089911	6.385004	7.106083	6.604303	8.085434	6.462861	6.676879	6.171184	6.81545	5.720042	6.812392	7.200753	6.485349	5.896102	6.040482	6.030952	6.002273	7.782279	6.852696	7.188446	6.718775	6.200512	6.144777	6.493003	7.089449	5.818561	7.121004	6.662822	5.883223	7.058864	6.357051	6.101219	5.649323	8.398529	5.933273	7.928128	7.699348	7.657996	6.140021	7.116285	6.059891	4.672573	6.572487	6.435469	7.00961	5.160159	6.18417	5.051787	7.613991	7.849979	6.42982	6.060574	6.193297	6.24675	6.171095	7.801778	8.221109	7.162313	5.974741	5.901468	7.067661	7.295178	6.755036	5.907288	5.951874	4.910681	5.936253	4.673363	5.681938	7.903674	6.408301	7.826338	6.274986	7.652044	6.062508	6.961286	7.085232	7.071129
CD48	7.344579	6.803986	7.90249	8.255421	7.985791	7.080652	6.755364	7.456024	7.14654	7.248948	7.765491	6.806017	6.780368	6.93737	6.685147	7.121043	7.803232	8.231277	7.117195	6.836341	7.715511	8.126961	7.434205	6.604118	8.505302	7.006239	7.106131	7.632161	7.825738	8.168098	7.146818	7.981244	8.545537	8.108983	7.980481	7.311298	7.268627	7.167786	7.429357	7.273899	7.246226	7.311002	6.856997	8.190205	7.539964	7.708869	7.535643	7.530646	7.0444	7.521573	7.644684	8.477999	7.444394	7.315482	7.926666	7.130394	6.786833	7.22685	8.32059	7.725759	7.357026	6.770086	7.209706	7.37705	7.083164	6.798079	7.220948	7.740442	7.372628	8.541546	6.626726	8.081516	7.672042	7.433042	7.054203	9.160478	8.342105	7.24948	7.725481	7.427227	9.785403	7.5959	6.973958	7.318752	6.951104	7.549788	8.379479	9.12378	7.627094	7.109472	7.279895	8.062772	7.457954	7.325557	7.287778	7.459302	6.459539	6.571841	6.781535	7.25089	7.638672	8.37714	8.191018	6.932478	7.514552	7.575874	7.309013	8.378976	6.657229	7.184658	7.942953	7.777644	8.137643	6.870744	7.194045	6.685143	6.570921	7.656121	7.355584	7.311633	7.866175	8.167413	6.885876	8.591321	8.208398	8.07971	8.818096	7.391645	7.765802	6.979994	6.817196	8.233137	6.806388	6.967789	7.004415	7.669571	7.480065	8.495501	8.072629	8.141804	7.174204	6.913358	6.706239	7.122325	7.739438	7.955886	7.159832	8.547256	7.322423	7.386548	6.78887	6.695314	7.028761	7.072899	8.655366	6.629527	8.9456	7.44806	7.361605	7.276388	7.223879	6.576658	7.251724	8.38796	7.118929	7.689443	7.060776	7.157147	8.118844	7.182036	7.131333	7.510551	7.299707	7.525742	7.20825	8.639679	7.555909	7.762729	6.976015	7.423722	6.85624	7.888901	7.84543	7.067075	6.585026	7.180557	7.249384	7.1528	8.308355	7.919498	7.772036	8.2485	6.898333	7.606096	7.349442	8.168582	7.313753	7.935382	7.433246	7.413897	7.93532	7.282821	7.129422	6.918364	9.157975	7.06998	8.769377	8.2853	8.130186	7.105288	7.592599	7.675612	6.765015	7.96509	7.696018	8.054642	7.154914	7.569328	6.845216	8.237054	8.329556	7.251327	7.146015	7.402284	8.162402	6.843569	8.644536	8.6442	8.025496	6.813231	6.989381	7.697142	7.970369	8.02464	7.219649	6.419688	6.218155	7.040759	6.565266	6.582643	8.616238	7.531505	8.645678	7.031042	8.501915	7.352038	7.581218	7.867526	8.512938
