GSM177885	GSM177886	GSM177887	GSM177888	GSM177889	GSM177890	GSM177891	GSM177892	GSM177893	GSM177894	GSM177895	GSM177896	GSM177897	GSM177898	GSM177899	GSM177900	GSM177901	GSM177902	GSM177903	GSM177904	GSM177905	GSM177906	GSM177907	GSM177908	GSM177909	GSM177910	GSM177911	GSM177912	GSM177913	GSM177914	GSM177915	GSM177916	GSM177917	GSM177918	GSM177919	GSM177920	GSM177921	GSM177922	GSM177923	GSM177924	GSM177925	GSM177926	GSM177927	GSM177928	GSM177929	GSM177930	GSM177931	GSM177932	GSM177933	GSM177934	GSM177935	GSM177936	GSM177937	GSM177938	GSM177939	GSM177940	GSM177941	GSM177942	GSM177943	GSM177944	GSM177945	GSM177946	GSM177947	GSM177948	GSM177949	GSM177950	GSM177951	GSM177952	GSM177953	GSM177954	GSM177955	GSM177956	GSM177957	GSM177958	GSM177959	GSM177960	GSM177961	GSM177962	GSM177963	GSM177964	GSM177965	GSM177966	GSM177967	GSM177968	GSM177969	GSM177970	GSM177971	GSM177972	GSM177973	GSM177974	GSM177975	GSM177976	GSM177977	GSM177978	GSM177979	GSM177980	GSM177981	GSM177982	GSM177983	GSM177984	GSM177985	GSM177986	GSM177987	GSM177988	GSM177989	GSM177990	GSM177991	GSM177992	GSM177993	GSM177994	GSM177995	GSM177996	GSM177997	GSM177998	GSM177999	GSM178000	GSM178001	GSM178002	GSM178003	GSM178004	GSM178005	GSM178006	GSM178007	GSM178008	GSM178009	GSM178010	GSM178011	GSM178012	GSM178013	GSM178014	GSM178015	GSM178016	GSM178017	GSM178018	GSM178019	GSM178020	GSM178021	GSM178022	GSM178023	GSM178024	GSM178025	GSM178026	GSM178027	GSM178028	GSM178029	GSM178030	GSM178031	GSM178032	GSM178033	GSM178034	GSM178035	GSM178036	GSM178037	GSM178038	GSM178039	GSM178040	GSM178041	GSM178042	GSM178043	GSM178044	GSM178045	GSM178046	GSM178047	GSM178048	GSM178049	GSM178050	GSM178051	GSM178052	GSM178053	GSM178054	GSM178055	GSM178056	GSM178057	GSM178058	GSM178059	GSM178060	GSM178061	GSM178062	GSM178063	GSM178064	GSM178065	GSM178066	GSM178067	GSM178068	GSM178069	GSM178070	GSM178071	GSM178072	GSM178073	GSM178074	GSM178075	GSM178076	GSM178077	GSM178078	GSM178079	GSM178080	GSM178081	GSM178082
ADAM9	12.206792	10.989836	10.484776	8.842004	7.984454	10.368941	8.446427	10.808444	9.653571	10.950934	11.262537	10.737054	8.81492	12.122678	10.753839	9.008644	10.813091	9.499982	10.823689	10.20567	9.340449	9.852461	10.470314	9.756274	9.858331	8.566672	9.286012	8.641865	9.98476	8.825589	8.783812	10.215352	8.698025	10.064105	7.243686	11.037434	10.714168	9.373753	9.453466	12.699202	10.534824	9.45378	9.827304	8.549944	10.733363	9.981175	8.754322	11.080577	9.785494	9.818036	10.182237	10.239027	9.851315	9.028432	11.049506	9.629194	10.090604	10.672835	11.597778	10.034604	10.493063	9.143241	12.336837	11.166901	10.345122	10.235894	9.667025	10.868772	10.553619	9.754543	9.775409	10.954314	11.252111	11.076465	9.581128	9.779866	11.003597	9.026582	10.974653	10.516773	9.508861	10.541706	10.072109	11.801234	10.812561	7.829734	10.380672	11.120917	11.078168	10.809238	10.421599	10.728802	10.269603	10.892566	11.02637	10.124277	10.302151	9.91392	9.860465	10.003927	10.377561	10.906276	10.408799	8.596763	9.808267	10.417692	10.787047	10.260333	9.104283	10.981435	9.283981	10.737069	10.537456	11.461796	11.838673	11.496069	9.084127	9.832463	12.004512	10.828722	11.577337	11.332599	11.503521	9.26542	10.492794	10.25616	11.039985	10.729631	10.015988	12.75969	11.092529	10.212353	12.579189	10.731499	10.243743	10.008848	9.674747	10.393668	8.92297	11.391534	9.934952	11.99528	10.104449	9.578366	9.670884	11.049686	9.03096	9.933232	9.058686	10.806435	13.144812	10.424304	9.300522	11.561868	10.233707	10.180629	10.693364	10.077905	9.217185	9.851132	9.747317	10.098521	10.276079	8.401778	10.0524	9.272016	9.915575	8.801456	10.865823	11.04307	10.718359	12.329173	11.353279	10.416497	10.61603	11.052693	9.63596	10.422088	11.14822	9.090106	10.652056	11.622789	10.791952	10.443759	10.3783678	8.612295	7.577857	10.995124	9.55334	11.59303	10.404151	10.864596	10.119487	10.297938	11.393972	10.564824	9.145345	7.99939
ADRB1	5.35033	2.490567	3.238733	3.917129	4.3083	3.896703	2.56112	3.94913	4.083587	2.821621	2.259038	4.219642	3.166162	2.971639	2.273959	3.154489	2.32957	2.149469	2.783023	4.195466	2.59492	5.657868	2.571691	5.032093	4.190269	3.598109	1.867166	2.073482	2.996585	5.788862	2.560223	3.433363	6.942362	3.972276	2.950502	1.559453	4.585027	3.301007	3.927843	3.559792	5.05861	6.733523	5.327659	5.403908	4.24098	4.973275	6.1453	3.009997	2.423167	4.001925	4.455434	3.444308	3.005343	6.118	4.962108	5.252341	4.468383	3.832399	4.020443	3.34433	3.465561	5.557394	3.15072	2.015698	3.365038	1.930263	3.089481	3.436132	4.075321	2.858835	2.9998	3.705234	3.335726	2.87611	3.211607	3.666343	3.216881	3.584963	2.014927	4.273051	5.051966	2.078482	2.771558	2.72376	4.012633	3.34809	2.310894	3.342935	2.787898	2.773624	3.201367	5.906703	3.482601	5.641913	3.02571	4.259701	4.369222	2.022481	4.527447	3.495584	3.143846	3.769152	3.625452	4.234248	3.693853	3.438239	3.397084	2.560136	2.515025	4.474136	5.160416	6.314453	2.629332	4.508122	4.790629	3.675757	3.852529	4.155865	4.743677	3.056583	2.776986	2.910612	3.192884	2.934047	5.550569	2.974074	3.239882	2.555854	4.273017	3.693358	3.411866	5.409389	3.239658	1.828257	2.639819	4.268652	4.344034	3.966334	3.71332	1.86897	5.496995	5.635659	5.489944	3.845972	4.689343	2.113466	5.650099	5.066302	3.883613	2.385556	1.772806	2.139876	1.860642	2.320666	5.61968	5.370595	2.373495	3.65197	2.40531	3.861191	3.488037	1.489436	2.469823	3.179523	6.06009	1.401474	2.445655	4.190334	2.416636	5.768417	3.887639	4.746322	6.248617	5.833361	3.090626	5.355012	2.554605	3.528722	5.108137	5.196338	3.750671	1.405882	5.480846	2.868285	0.9876907	2.094286	4.81017	6.1987	2.400023	3.850553	3.18242	6.351518	3.429012	3.138712	2.174343	4.349092	3.35955	3.792326
BCL2	5.629695	7.217102	5.711205	6.85222	7.574139	5.308235	5.594728	6.415588	8.025044	7.583091	6.891807	7.534548	6.161736	5.974106	6.11648	6.484816	5.829994	5.865321	6.34359	7.662943	6.552909	5.949362	7.483836	6.506473	6.703115	7.755125	7.678685	8.193071	6.827738	7.765815	6.231126	8.192613	8.181231	5.668698	7.718617	7.041498	7.936018	7.478198	6.212159	6.514572	6.478976	8.612085	6.019431	6.570845	6.792466	7.054399	6.928357	7.917447	7.83704	8.70804	5.803621	6.572969	6.31412	6.756239	5.434863	7.187845	7.565113	6.389615	5.766049	6.818099	7.356289	6.103066	8.281398	6.895805	7.802119	7.793552	7.112846	7.091179	6.758743	6.850698	7.351743	6.55848	6.840342	5.782035	6.21013	6.872828	7.160671	6.512785	5.241111	7.049327	6.948894	6.547209	7.645775	7.179408	6.660993	6.142131	8.13836	7.234423	7.586128	7.116231	5.516576	6.649062	5.89754	6.401841	5.935629	5.278279	6.353904	6.022997	7.417522	7.488553	6.348797	7.325685	7.927265	6.064054	7.262436	6.416715	6.181809	6.258074	8.578384	6.072908	6.445765	7.012576	7.52533	6.825376	7.228487	7.281027	6.001791	8.051263	6.310733	6.316373	6.745358	5.307189	7.773387	7.254242	5.904677	6.193618	7.531259	6.074802	7.300071	7.691802	5.782937	6.055902	5.604425	6.687432	7.524456	6.687596	6.243152	6.672047	6.60643	7.073581	8.969113	6.496575	7.319386	6.557017	6.22155	7.791905	7.831684	8.30496	7.467571	7.989782	6.171173	7.142479	7.533756	7.242106	7.556843	8.013883	7.695495	8.192389	6.978136	7.908298	7.920778	7.375519	7.541289	8.07135	8.118866	6.223399	7.500983	5.994442	7.380171	7.718688	6.643805	6.239697	6.528523	6.60697	5.938646	6.554856	6.742413	7.389934	6.368766	6.158506	6.228924	5.536263	7.400314	8.355918	7.2632157	8.449331	7.062205	7.412461	6.223664	7.499474	5.699863	6.884045	6.390055	5.573975	5.310254	6.665275	7.024013	5.129053
BRD4	8.615797	8.639392	9.007017	8.973702	9.595628	8.639095	8.373105	8.663491	8.364918	9.011009	8.24641	8.202707	9.1528	9.118417	8.227356	8.549003	9.176669	9.044058	8.607083	8.597632	9.396355	10.134819	8.954364	7.731607	8.955407	9.361774	9.273631	9.242607	8.625407	10.216215	9.307968	8.74308	8.994122	9.477003	8.960133	8.93387	9.520707	8.960226	9.475622	9.102371	8.792906	9.263004	8.784503	8.98436	8.502158	9.413101	9.291389	8.534037	7.512161	8.507124	8.709053	8.531337	8.955159	9.054285	8.342213	8.515746	8.688405	8.890909	7.82872	8.561222	8.967837	9.365349	8.355439	7.256054	8.602791	8.297125	8.047904	7.722782	9.025292	8.882059	8.748368	9.032226	7.499353	9.163962	8.351516	9.280665	9.262313	9.761614	7.90201	9.105785	9.001172	9.573998	8.601079	8.434226	8.53568	9.500818	9.220316	8.925782	8.834679	9.562963	9.423264	9.330227	7.974813	8.395648	8.8277	9.339602	9.306577	9.051779	9.363127	9.388501	8.773966	10.213473	9.633801	9.625439	9.976947	8.848744	8.77134	9.838394	9.706258	8.997072	9.28099	9.382197	8.948504	9.268799	9.500905	8.782914	10.091181	9.260994	9.34918	9.365942	8.58687	8.537809	8.935318	9.174317	9.958135	9.057712	9.578908	8.466009	9.998874	8.306849	9.396019	9.536154	8.847561	9.165492	8.628235	8.791297	8.801842	8.744433	9.723904	9.115368	9.33486	9.394626	9.767472	9.429531	9.570158	8.987088	9.443287	9.472371	9.713001	9.003464	9.312361	9.186305	9.947478	9.214795	9.290939	9.377788	8.99721	9.355976	9.861994	9.662368	9.59926	8.986637	9.248225	8.631191	9.394002	8.470479	8.450159	8.700672	8.333444	8.934366	9.052039	8.329583	7.548961	8.14075	9.065387	8.091244	8.525617	8.986788	8.465398	10.025399	9.433257	8.859065	9.120149	8.452086	9.2270699	8.86272	8.052873	8.136882	9.198771	8.656219	7.840703	8.332235	7.988109	8.059159	8.810509	8.733454	9.52016	9.491237
CACNA1H	3.623206	3.843518	2.933129	3.360306	7.11975	3.412538	3.04644	3.290961	3.114646	3.750035	5.351133	3.602396	2.63191	4.124315	3.620334	3.484655	3.236392	3.610116	3.752963	4.584483	6.017689	4.251137	4.133055	4.173825	3.672104	5.246098	3.153081	3.565213	3.365158	3.593257	4.11602	4.965516	3.483015	4.446712	4.297609	4.490211	3.369527	3.397596	4.346675	3.568364	4.832636	3.169836	4.818205	3.777665	3.432946	4.40273	4.619278	3.231127	3.189056	3.249918	4.349583	3.423788	3.690653	3.837275	3.555861	4.198265	4.410922	3.443356	3.208149	4.87276	3.344744	7.478353	4.06919	3.456056	3.385558	2.733453	3.134321	2.81358	3.225355	3.550321	3.507074	3.208467	3.093031	3.215204	4.355588	6.110477	4.381611	4.127157	2.948329	3.896008	5.967549	3.472866	4.929365	4.547368	4.030518	3.52794	3.0447	5.248437	4.787128	3.177048	2.741478	4.347774	3.597859	4.252838	2.996116	5.295451	3.555197	3.783019	3.43761	3.818266	4.038116	4.003291	3.574198	4.250762	4.007534	3.813404	4.073917	3.782275	3.144822	4.479111	7.27595	2.719865	5.274219	7.877019	3.460509	5.099797	3.693139	3.338227	2.683336	3.090484	3.800874	3.812574	2.957854	4.389802	3.240047	3.829815	3.574651	3.86317	2.663969	3.283879	4.891453	4.803135	3.425775	6.897059	2.886676	7.710116	4.517593	4.155984	4.382517	3.343103	3.596053	4.085923	3.264858	2.567447	3.814734	4.728271	3.063848	5.609904	5.065519	4.112095	3.579645	3.555573	3.105405	3.905817	5.814481	3.37758	4.304337	6.658707	5.24045	3.943119	6.879904	4.184208	4.349352	4.403356	6.07621	5.656945	4.739312	5.871993	3.781296	3.760317	3.00783	5.512516	3.987763	3.711745	3.159208	3.057401	3.67541	4.594687	2.692905	3.099218	4.145913	3.96985	3.753773	3.073927	4.7048298	3.821609	3.682904	3.215546	3.524244	7.124088	2.892264	2.783316	3.601046	3.410736	3.42879	3.603639	3.641232	3.635439
CCL1	3.85683	2.396853	3.111101	4.531468	3.782436	2.445446	3.567188	2.902006	3.975671	3.852921	3.082212	3.449574	3.486444	4.126842	2.763881	3.895277	2.954274	3.207008	3.398121	1.989773	2.904651	4.412469	3.355168	3.110524	4.113917	3.129643	3.460798	4.820055	2.708502	3.221549	3.823662	4.511183	4.480222	4.572998	3.322162	3.007479	2.775539	2.639594	3.42918	3.271041	3.329274	2.981707	3.59899	3.198195	3.445564	4.923187	2.773399	3.237771	2.227219	3.601142	3.37774	3.563875	3.815122	3.160359	3.798173	2.506564	2.909538	4.63581	3.083638	2.776039	3.395268	3.667704	2.441671	4.058665	2.846236	3.054179	3.292899	2.779657	3.115142	3.524293	3.093743	3.16074	4.039359	2.617578	3.481209	3.443644	2.365995	3.097027	3.687182	3.380211	4.155477	3.48532	2.705364	3.555949	2.582008	4.32386	2.911711	4.301622	2.877601	2.811989	3.446982	3.370686	4.862617	3.423903	3.148301	3.934707	4.158322	3.409457	2.374311	3.206253	2.565142	3.013602	3.418447	3.354259	3.708851	3.245835	3.084748	4.0423	3.125242	3.42843	3.485925	3.326246	3.679926	2.711279	4.101374	2.576196	3.225331	3.265174	3.490627	2.526698	2.941628	2.461564	3.342285	2.406963	3.175745	3.90628	3.962222	3.529784	3.359204	2.37182	3.015598	2.212744	2.748774	2.742557	3.672621	3.049994	2.798537	2.7514	4.184332	2.873392	2.156699	2.774323	2.255694	3.122629	3.033449	3.220267	2.735495	2.684693	4.063751	3.894301	2.587976	3.685325	3.20684	2.931471	3.706739	3.254999	3.172449	3.593774	6.465766	2.95436	2.93207	2.238817	3.132375	3.001627	4.722324	3.640297	3.520779	3.606832	4.102154	3.151918	3.413888	3.255228	2.816983	2.596772	2.418072	2.503365	3.203115	4.698552	4.085169	3.705666	2.99598	3.925709	3.144094	3.529596	3.9045344	3.200987	3.668221	2.406008	3.402155	2.111808	4.187286	2.685639	2.625333	3.247475	2.578212	3.786492	3.709492	2.305111
CCL19	6.463361	8.415167	10.379489	12.483154	5.483877	11.7324	8.703742	11.86418	7.764826	11.351751	10.735903	6.98427	10.319125	11.368942	12.573285	8.924822	9.988345	3.931343	9.894057	7.099003	9.359875	6.074444	11.447755	10.198759	11.687043	6.398303	11.460187	7.307728	7.209615	12.94943	11.574794	8.617712	6.569039	11.481214	6.729081	6.569226	9.594016	10.680166	12.28019	8.100491	10.238339	6.828703	10.375345	7.840913	9.55368	10.197635	5.674634	9.400519	9.094261	9.836318	9.885376	10.820783	10.632735	9.9059	11.982472	5.779016	8.029181	9.501213	9.386777	6.849791	10.697984	7.603923	10.32643	10.616562	11.655516	8.122215	11.180886	9.750165	8.440452	10.102478	9.633796	11.865187	11.630003	8.933096	9.696189	9.872365	10.739668	8.435991	10.789792	9.815004	9.481847	10.449141	7.976337	11.106988	9.699352	7.159599	11.29952	9.715248	8.610703	10.074879	10.841362	9.157754	9.899874	11.529944	10.460117	8.907315	9.273263	9.872033	6.253192	8.210428	11.605481	11.237758	9.415613	13.592034	9.85086	10.579202	6.792493	7.901116	8.939171	10.293655	7.308611	10.075839	10.87888	10.560033	8.395611	9.867947	10.277304	9.564767	12.223536	10.286025	8.297018	7.220486	10.811401	8.172933	6.657313	9.550134	12.930829	11.42548	7.950062	8.788793	7.926361	11.387696	5.604208	8.595122	10.42987	10.482174	10.908546	10.237863	10.472984	7.693042	9.759854	7.606757	12.342916	10.939001	9.327422	9.128591	6.845055	8.326982	7.546972	10.70674	10.106932	10.574925	11.39322	8.469023	9.297409	9.06419	10.58861	9.99984	9.766065	11.905123	11.812097	9.081282	8.149229	8.253601	9.844892	9.262545	10.599132	6.576829	8.933273	10.101133	6.602214	6.75811	10.4362	10.020825	9.064607	9.164237	11.207197	8.52493	11.303639	5.256703	11.41439	10.357609	10.136744	8.572315	10.6175048	9.934375	11.744894	10.385107	11.67311	8.881733	8.77046	11.559771	9.578467	7.379535	7.262648	7.772764	13.890095	10.599494
CD24	13.068734	12.011974	12.752651	10.774035	12.144762	13.392743	12.84861	13.393137	6.406502	13.52672	12.63238	12.543487	13.22147	11.981202	13.761947	12.810921	12.826072	13.485246	13.237547	12.711374	13.886097	12.254791	10.902496	9.970742	13.457422	12.85233	12.966329	12.999952	14.788402	12.430772	13.130974	9.089296	12.716077	12.617867	11.870467	11.907159	11.356913	13.553514	11.300641	11.792092	11.637174	11.794143	13.256937	10.925684	11.410512	12.163428	12.961247	11.701041	13.343963	13.343851	12.39984	11.950192	12.564809	11.981146	13.4854	8.000989	9.994525	12.719226	14.188109	8.187926	9.096597	13.163739	12.38492	12.994369	11.800037	6.07893	11.684892	13.215002	11.251027	13.398734	12.001152	11.322301	13.280205	12.211249	13.846367	12.286104	13.045223	12.280674	12.422112	12.80897	12.27238	12.691817	11.226028	13.396444	13.352464	12.317766	11.432626	12.326984	12.803735	14.284001	13.055215	11.990188	15.174392	12.165528	13.050568	10.20724	13.740189	13.224272	13.353846	12.765652	13.158357	13.006428	12.191088	10.392674	13.333951	11.221311	12.496233	12.87888	12.422107	11.672593	12.636955	12.782476	12.805174	13.116084	12.512021	12.228914	12.769248	9.574987	13.750854	12.133014	12.0965	13.24153	11.997892	11.064512	13.944594	12.712991	12.862564	12.905481	12.613098	8.511248	13.212556	12.521498	12.972271	11.991764	12.040428	13.078944	14.192967	12.186976	12.798832	12.726925	11.197162	11.767485	12.247677	12.838681	11.770869	11.158178	4.002709	13.445019	11.304597	11.394235	13.06553	11.641677	11.686999	13.540513	12.891504	12.121411	12.957844	12.998306	11.928787	11.50929	11.772814	13.688706	12.66808	8.475687	8.966203	12.527345	12.769067	12.540937	14.891572	12.361067	6.817209	12.743359	6.962917	14.091755	12.495776	13.783844	12.380486	10.9897	13.315019	12.283346	13.599874	13.63472	12.934828	12.240542	8.1518038	11.700564	10.636315	9.64255	13.161563	12.251519	13.073617	11.470544	11.954494	13.903439	13.543546	6.163737	12.267678	9.206031
CD27	7.210832	8.737271	8.153551	10.321307	4.824538	9.271335	8.786667	8.606072	6.340456	8.814642	8.923034	7.009393	8.764986	9.309354	8.96744	5.580749	8.231361	7.983185	9.461454	8.628886	6.630461	5.520291	8.669892	7.656705	9.378115	8.16252	8.394072	8.180999	8.034539	10.022353	10.23639	6.430616	5.72533	9.903739	4.71859	6.361633	7.804624	8.920407	10.0044	7.446589	8.543408	7.361109	8.645228	7.295873	8.674372	8.781297	5.628416	8.070159	7.916783	9.100277	8.708227	9.431388	9.735159	7.783872	9.69908	6.602462	7.568849	9.139514	8.257547	5.538609	7.188908	7.331064	8.066588	7.008782	8.89765	6.578748	8.487696	7.405425	5.562403	8.154183	8.41891	9.808888	8.007025	8.498703	8.952463	7.278702	8.438028	8.385356	8.2518	7.930645	8.138277	7.79639	7.417814	8.944237	8.404706	9.041372	9.517567	7.83199	6.451017	8.940148	8.995557	7.602186	8.63398	9.638851	9.270598	8.110485	7.581618	7.671249	5.159372	7.0579	9.783427	9.271034	7.938151	11.724561	8.515533	8.240787	7.578799	7.469484	8.035095	8.240455	6.763718	7.587038	9.315131	7.853211	5.918608	8.023886	8.389442	9.309047	9.214516	8.364543	7.765687	7.484379	9.548091	7.531107	7.831782	9.238295	9.642654	9.25913	7.304421	7.629236	6.279599	9.074177	6.062141	7.642881	7.934168	9.139961	8.146377	9.723585	9.127797	6.760011	7.905658	7.999609	9.514062	7.561938	8.348738	7.708872	7.02039	4.78077	8.204984	9.126782	7.921108	7.585591	9.060433	7.826574	7.321849	8.39896	9.196776	8.241498	7.252777	8.620779	10.063595	7.96025	8.295651	6.354046	8.049374	9.183592	8.313228	7.177451	8.20168	9.194462	7.704415	7.422172	8.252851	8.035095	8.535674	5.028943	9.446088	7.882161	9.709174	8.803014	9.520601	9.08551	8.463622	8.598788	9.2582161	8.173917	9.855824	8.460413	8.848533	5.001729	9.701479	8.768086	7.880441	6.946955	6.631242	7.767392	11.185374	8.780571
CD48	7.926082	10.588992	9.08771	11.971042	8.250537	10.947032	10.105593	10.757305	8.513382	10.332154	10.542992	9.17658	10.723215	11.056318	12.246967	9.827896	10.171582	8.6318	10.775153	9.851768	9.328702	8.126349	10.961754	9.246143	11.698194	8.436902	9.975483	8.614648	9.601885	12.283572	11.287771	9.581332	8.87032	10.720171	8.059979	8.629621	9.859842	10.702001	11.639895	8.606964	9.931786	8.604285	9.811724	8.768608	10.665562	10.026874	7.824364	9.115557	9.631896	10.359366	10.594993	10.916313	10.651582	9.502146	11.244702	10.135858	9.164962	11.064441	9.837349	9.074023	9.435833	8.760549	9.544586	10.064935	10.937069	8.879693	11.242546	9.519881	9.740179	10.339603	9.98065	11.062116	10.516598	10.162528	10.570747	9.547938	9.984351	9.198873	10.873756	9.787383	8.837998	9.43001	8.722432	10.765977	9.847377	10.685336	10.48627	9.14492	9.517431	10.546714	10.068296	9.576869	9.870219	11.695348	10.604403	9.286077	8.82318	9.666339	8.72015	8.410058	10.996359	10.919095	9.470745	13.66858	9.835363	9.962934	8.751144	8.624521	8.698437	10.047889	8.657195	9.7078	10.594004	9.461868	8.66857	9.019239	9.000375	10.820585	11.195816	10.118957	9.457499	9.254865	11.161843	8.590597	9.121554	9.976579	11.094754	10.820714	8.758581	9.736265	8.283551	10.63122	7.635923	8.668453	9.476197	10.07345	11.486875	11.107268	10.891159	7.947393	8.931419	9.176622	10.817445	9.71581	9.331064	9.515332	8.71996	8.669677	8.624126	11.701632	9.644844	10.116228	10.413141	8.745986	8.859894	10.196144	9.893616	9.489981	9.349819	10.275724	11.396011	9.338833	9.351306	8.951078	9.46323	10.357998	9.928373	8.304081	9.856368	10.287371	9.411003	8.78613	11.119912	9.776149	10.266748	9.340123	11.385042	9.915137	10.861934	9.534871	10.679256	10.454904	9.928465	10.135505	10.814934	9.684823	11.21437	10.494601	10.529301	9.224848	11.320869	10.643055	9.98132	8.751291	9.757418	10.0197	12.621238	10.225429
